;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/tower_drone_attack_slots_picker_tool;Attack Drone Tower Mods Picker Tool;;Получить моды из башни с атакующими дронами;;;;;;攻撃ドローンタワー MOD ピッカーツール;
gui/hud/building_description/tower_drone_attack_slots_picker_tool;This tool allows you to copy mods from the selected Attack Drone Tower to place it in another tower.;;Этот инструмент позволяет скопировать из выбранной башни моды для помещения их в другую башню.;;;;;;このツールを使用すると、選択した攻撃ドローンタワーから MOD をコピーして別のタワーに配置することができます。;
;;;;;;;;;;
gui/hud/building_name/tower_drone_attack_slots_replacer_tool;Attack Drone Tower Mods Replacer Tool;;Вставить моды в башни с атакующими дронами;;;;;;攻撃ドローンタワー MOD リプレイサーツール;
gui/hud/building_description/tower_drone_attack_slots_replacer_tool;This tool allows you to replace mods in selected Attack Drone Towers with mods from another tower.;;Этот инструмент позволяет заменить моды в выбранных башни на выбранныые моды из другой башни.;;;;;;このツールを使用すると、選択した攻撃ドローンタワーの MOD を別のタワーの MOD に置き換えることができます。;
;;;;;;;;;;
gui/hud/tower_drone_attack_slots_tools/last_slots;Use Last;;Использовать Последнее;;;;;;最後に使用;
;;;;;;;;;;
gui/hud/tower_drone_attack_slots_tools/current_slots;Current;;Текущее;;;;;;現在;
;;;;;;;;;;
gui/hud/tower_drone_attack_slots_tools/mods_not_selected;No mods selected;;Моды не выбраны;;;;;;選択されていません;
;;;;;;;;;;
gui/menu/research/category_tower_attack_drones;Attack Drone Tower's Drones;;Типы атакующих дронов;;;;;;攻撃ドローンタワーの種類;
;;;;;;;;;;
gui/menu/research/name/tower_drone_attack_acid;Attack Drone Tower - Acid Drone;Wieża z Dronami - Dron Kwaśny;Башня с атакующими дронами - Кислотный Дрон;Tour de drones d'attaque - Drone acide;Angriffsdrohnenturm - Säuredrohne;Torre de drones de ataque - Dron ácido;Torre de Ataque de Drones - Drone Ácido;;攻撃ドローンタワーの種類-アシッドドローン;
gui/menu/research/description/tower_drone_attack_acid;Unlocks Acid Drone.;;Разблокирует Кислотный Дрон.;;;;;;アシッドドローンのロックを解除;
;;;;;;;;;;
gui/menu/research/name/tower_drone_attack_area;Attack Drone Tower - Rocket Drone;Wieża z Dronami - Dron rakietowy;Башня с атакующими дронами - Ракетный дрон;Tour de drones d'attaque - Drone à roquettes;Angriffsdrohnenturm - Raketendrohne;Torre de drones de ataque - Dron cohete;Torre de Ataque de Drones - Drone de mísseis;;攻撃ドローンタワーの種類-ロケットドローン;
gui/menu/research/description/tower_drone_attack_area;Unlocks Rocket Drone.;;Разблокирует Ракетный дрон;;;;;;ロケットドローンのロックを解除;
;;;;;;;;;;
gui/menu/research/name/tower_drone_attack_cryogenic;Attack Drone Tower - Cryogenic Drone;Wieża z Dronami - Dron Kriogeniczny;Башня с атакующими дронами - Криогенный Дрон;Tour de drones d'attaque - Drone cryogénique;Angriffsdrohnenturm - Kryogene Drohne;Torre de drones de ataque - Dron criogénico;Torre de Ataque de Drones - Drone Criogênico;;攻撃ドローンタワーの種類-フリーズドローン;
gui/menu/research/description/tower_drone_attack_cryogenic;Unlocks Cryogenic Drone.;;Разблокирует Криогенный Дрон;;;;;;フリーズドローンのロックを解除;
;;;;;;;;;;
gui/menu/research/name/tower_drone_attack_energy;Attack Drone Tower - Energy Drone;Wieża z Dronami - Dron Energetyczny;Башня с атакующими дронами - Энергетический Дрон;Tour de drones d'attaque - Drone d'énergie;Angriffsdrohnenturm - Energiedrohne;Torre de drones de ataque - Dron de energía;Torre de Ataque de Drones - Drone de energia;;攻撃ドローンタワーの種類-エナジードローン;
gui/menu/research/description/tower_drone_attack_energy;Unlocks Energy Drone.;;Разблокирует Энергетический Дрон;;;;;;エナジードローンのロックを解除;
;;;;;;;;;;
gui/menu/research/name/tower_drone_attack_fire;Attack Drone Tower - Incendiary Drone;Wieża z Dronami - Dron Zapalający;Башня с атакующими дронами - Зажигательный Дрон;Tour de drones d'attaque - Drone incendiaire;Angriffsdrohnenturm - Branddrohne;Torre de drones de ataque - Dron incendiario;Torre de Ataque de Drones - Drone Incendiário;;攻撃ドローンタワーの種類-ナパームドローン;
gui/menu/research/description/tower_drone_attack_fire;Unlocks Incendiary Drone.;;Разблокирует Зажигательный Дрон;;;;;;ナパームドローンのロックを解除;
;;;;;;;;;;
gui/menu/research/name/tower_drone_attack_physical;Attack Drone Tower - Attack Drone;Wieża z Dronami - Dron Bojowy;Башня с атакующими дронами - Атакующий дрон;Tour de drones d'attaque - Drone d'attaque;Angriffsdrohnenturm - Angriffsdrohne;Torre de drones de ataque - Dron de ataque;Torre de Ataque de Drones - Drone de ataque;;攻撃ドローンタワーの種類-アタックドローン;
gui/menu/research/description/tower_drone_attack_physical;Unlocks Attack Drone.;;Разблокирует Атакующий дрон;;;;;;アタックドローンのロックを解除;
;;;;;;;;;;
